#  snr lnM mu p0 e0 dist cosqS phiS cosqK phiK Phi_phi0 Phi_r0
3.059894794197587104e-03 1.495425243855617836e+01 1.509246145518979176e+01 1.332442659094490622e+01 4.865999335047238583e-01 9.159754985304782338e+01 -1.517427847694707843e-03 2.196609396220393418e+00 -8.174716442773458658e-01 4.348711364205429142e+00 5.907920842177251330e+00 6.066944508802948555e+00
3.514118842197674116e-03 1.524530461972998729e+01 6.987780338226724552e+01 1.416622334359832536e+01 2.095235884926947845e-01 5.185994784545184899e+01 7.156757235611014289e-01 2.102064075744928928e+00 -5.189963043983685242e-01 4.825923595024950608e+00 3.771743022384526522e+00 1.951322403727104637e+00
6.957465108129001763e-03 1.468795926261030615e+01 5.022980378226534270e+01 1.553551053993755104e+01 2.585177613529782148e-01 3.282414495365906504e+01 9.365945385918960087e-01 3.309990772545269078e+00 -8.832738193603052457e-01 2.970597693291000319e+00 2.279234164244473781e+00 5.974277732403934671e+00
7.729231878789489564e-03 1.532056649221687117e+01 9.641058471796202411e+01 1.095952820929279525e+01 1.445085842205730553e-01 9.748539603114667784e+01 -7.950775982113340579e-01 2.321607616894681314e+00 -3.508899726063430258e-01 3.269382660404489549e+00 5.974477734357350300e+00 4.032501832950180720e+00
2.208615273055685585e-02 1.441190721377416217e+01 5.620617027058444393e+01 1.297561829546884127e+01 3.311981081335406141e-01 5.830797867484464092e+01 3.101947902760259224e-01 4.036283977007538049e+00 5.115392168668487782e-01 6.205141427089447603e+00 3.806342451695337914e+00 4.053996735638426330e+00
2.910830661346571618e-02 1.466422630786460957e+01 9.952137908786043852e+01 1.303730781188318844e+01 1.758615335772060473e-01 7.565465659453847991e+01 -8.563722901169077417e-01 2.401688510235264751e+00 5.863019797014376033e-01 8.106273103097646482e-01 2.928590926026027663e+00 3.797277237354090840e+00
3.122773500298103161e-02 1.473095930069275461e+01 8.329057360685553135e+01 1.103795313548443602e+01 1.436872880412377873e-01 9.349005327206845095e+01 -7.377585597855343957e-01 2.887731815426241244e+00 3.679261720246479461e-01 2.288564936985672649e+00 1.003500694604744670e+00 3.897374527414679601e+00
3.710711890646233718e-02 1.499735669008711803e+01 6.027679893685391477e+01 1.105262715834339815e+01 2.207300717299536252e-01 3.210969896965737291e+01 4.137981776781211041e-01 1.986703540678645519e+00 -2.952558580922451936e-01 1.593474008821791355e+00 6.202936835374730506e+00 8.693715039716163814e-03
4.134713566352955089e-02 1.488829480553076579e+01 4.877018197065004301e+01 9.715055414926169419e+00 1.296316070842617463e-01 5.484723551542877829e+01 -2.335792437491146512e-01 2.440843039602524911e+00 -5.859247378374643489e-02 1.324336812144383702e+00 4.420340309101583820e+00 2.834637144881027027e+00
4.486224707907134762e-02 1.478079965403012608e+01 7.186421822756643962e+01 1.273138804716336026e+01 2.380705740463658626e-01 2.381753583607156699e+01 -7.055339466789156688e-02 5.863306785489707629e+00 -2.787768753602597460e-01 3.427069936755970492e+00 6.576420719725124542e-01 4.159483854943950121e+00
4.950055056343444226e-02 1.403030542380333223e+01 6.404048681568318102e+01 1.594146632706788225e+01 2.043596981820262892e-01 3.582840158969987243e+01 3.328146531227990090e-01 4.509225697424485979e+00 -2.972618160653212049e-01 3.975093142574575467e+00 2.892439607064481777e+00 3.008489823709844302e+00
6.791672916325970644e-02 1.520942449494394388e+01 9.288852250850641212e+01 1.250792479751110164e+01 6.296164335914167243e-01 2.032491060427684104e+01 1.991247193051607356e-01 6.013918936464737186e+00 -2.069351361505458176e-01 4.493027563151962056e+00 5.363279226755350848e+00 9.543895576635794825e-03
7.192477112929727967e-02 1.490860032198348151e+01 2.026352602764081468e+01 9.852494465308359040e+00 4.586967563450353724e-01 3.874023360523162296e+01 -3.463575345877079048e-01 2.335850522238998028e+00 -1.080347409500881373e-02 6.549066942583539053e-01 3.822734566169092713e-02 3.443430868281645907e+00
8.554819948535888341e-02 1.463204193627851168e+01 9.847620286898492736e+01 9.332266306881788154e+00 1.444649083577727866e-01 7.695907536242273750e+01 -1.459195262374002322e-01 4.524756755959871701e-01 -4.267136898728552952e-01 2.655427040178818476e+00 4.234120732955129363e+00 5.435410183072210799e+00
1.499949551763865851e-01 1.168104643884300486e+01 4.156051458555809575e+01 1.037709237699570508e+01 4.037492781617118554e-01 4.610004174509978725e+01 -6.306231040512606523e-01 7.657337931180002721e-01 7.080888600195193172e-01 1.323764248101908736e+00 5.200045555876431358e-01 3.016220427225298373e+00
1.732462604632137304e-01 1.399608335338826848e+01 4.339580580476430782e+01 1.278969514964761700e+01 8.462489661209426917e-02 4.201876673248160188e+01 9.415663348130115518e-01 5.798707056631850598e+00 -3.436811483628113839e-01 1.579195154688889158e+00 2.727832681349835475e+00 1.938843806985893536e+00
2.819272587146769427e-01 1.380106691613841541e+01 2.845876078752903027e+01 9.618806215918812796e+00 3.532671882692289128e-02 5.795846209716730613e+01 -6.319337869528309781e-01 3.928207003397502728e+00 -6.290310093859101670e-01 5.258848100087054611e+00 5.054449288149130304e+00 5.523832789988712300e+00
3.276666220696459186e-01 1.287999013452938257e+01 1.194132027694610620e+01 1.401669693341484191e+01 2.104922953401689723e-01 2.041407752275216581e+01 -3.346101000153403060e-01 5.071204889105808133e-01 6.173541687522438037e-01 1.998262747270904915e+00 9.096008818975774846e-01 3.870983514193613306e+00
4.093834471208451786e-01 1.378372103802360371e+01 4.084396184210802971e+01 1.146839250948292133e+01 9.923252664149542768e-02 6.313006710787716713e+01 9.555877540678280324e-01 2.062958218367116459e+00 6.564147914054713207e-01 1.150618818683651234e+00 1.609846749329402416e+00 5.967207577737847046e+00
4.680699679139393443e-01 1.316355388712468688e+01 3.382846987311215514e+01 1.190098541394384313e+01 6.140019366843858517e-01 8.663550055931845861e+01 4.283626035331254966e-01 3.389268122996049293e+00 7.891579673785187321e-02 7.942699345682983081e-01 2.756781468668915824e+00 4.831454985011343517e+00
5.347433807902127745e-01 1.315071100295588735e+01 5.727520965419334686e+01 1.578869199064426709e+01 6.104665185336131117e-01 9.094975749726023651e+01 6.124250594636299061e-01 4.396363665399923626e+00 7.838481004344858283e-01 3.662066527872215094e+00 2.663792304920654441e+00 5.746459519890495748e+00
5.835025124101327343e-01 1.165749374740478395e+01 8.493336282584033370e+01 1.114122446463372640e+01 5.509056769298346090e-01 6.423029429313250205e+01 -3.749145778404713303e-01 1.437506320673104909e+00 -9.612857353915997827e-01 2.942117643502988322e+00 5.012019613041071686e+00 5.552038421245774735e+00
6.096493832860626627e-01 1.290893692405705551e+01 4.039148238361264731e+01 1.335592726585497303e+01 1.267759828893521568e-01 5.338928921453130272e+01 -5.098706266396657583e-01 3.596008842661752247e+00 5.591327842735337450e-01 5.210088799857627073e+00 1.239135399748619415e+00 4.419936687637864736e+00
6.316360818425036383e-01 1.286837518831131177e+01 2.279824134546963776e+01 1.540463386678922930e+01 6.044651725791273522e-01 7.463315805192222285e+01 8.245833127676830410e-01 5.373081131455287540e+00 -8.177211464171526556e-01 1.956990193735793859e+00 4.010723875078950229e+00 2.975728287884906731e+00
6.400914942987595557e-01 1.398136763459645415e+01 7.470535116000725395e+01 1.331407320633807956e+01 5.144567138071580725e-01 4.159283854803499025e+01 6.985676628554974288e-01 2.024749170062603021e+00 -9.786700039896425452e-01 4.466550515981305480e+00 4.771949783003646139e+00 4.383163760934547515e-01
6.464994564142521050e-01 1.224975286564341559e+01 6.130884213456939591e+01 1.045081942643359874e+01 4.790442645935405475e-01 8.165055593450877325e+01 -2.466814451293903865e-01 1.555310974604300567e+00 2.113622777854854418e-01 1.121533177059730546e+00 2.049725396856346915e+00 9.339871646310356212e-02
6.768428765640055467e-01 1.204508229207081804e+01 5.929158628510901252e+01 1.139076507182403653e+01 4.967722823907732010e-01 5.807904909161893414e+01 4.831833547476446222e-01 1.945745682380969788e+00 9.102029137703980810e-01 4.694005585031355565e+00 4.672964680842879304e+00 3.912192258537169565e+00
8.382596236127111133e-01 1.372133029538071014e+01 5.636295315950065543e+01 1.129758040050866796e+01 6.433870230296362402e-01 9.294883631358139553e+01 -6.496584171553836384e-01 1.689560962053954674e+00 2.607040427375076908e-01 2.052895918116009799e+00 5.764371551853884057e+00 5.835758807777472690e+00
8.491218607430636167e-01 1.182252463405315090e+01 3.083925064371890912e+01 1.361626256602046681e+01 3.058856850735271887e-02 8.550112230357473209e+01 8.416703549559295672e-01 1.800426746690823865e-01 2.347584425757117677e-01 3.676454542243377421e+00 5.455040206020688176e-01 5.250783202635446401e+00
1.078022712289183449e+00 1.367825659945925665e+01 5.928440900345154319e+01 1.230082330274805713e+01 9.801918019567419649e-02 3.308970151317259933e+01 -7.941500551278537490e-01 2.035494930598178875e+00 1.891553420683272924e-01 1.793395817186682839e+00 2.039524557178302722e+00 1.732873606748305928e+00
1.187181811389067976e+00 1.206192837731172496e+01 4.733787922928340208e+01 1.121878485753466137e+01 6.216639848079361652e-01 5.029298255030830234e+01 -3.358612477792267681e-01 5.674365610572905894e+00 8.806771691577230943e-02 6.002011031791181672e+00 5.170805145530437547e-02 2.170346052763661326e+00
1.393094814408213589e+00 1.291560663638900408e+01 9.417498059168245561e+00 9.706156089492935735e+00 4.139900251929443109e-02 2.347787662004646236e+01 -3.029977435593389501e-02 4.497980242382766392e+00 7.932353786535989437e-01 5.417984902229902033e+00 5.670302946041027248e+00 2.870946148481285487e+00
1.428771646392560379e+00 1.278979958051144017e+01 6.956286873253188219e+01 1.563785528440127948e+01 5.658521106647333987e-01 5.755890495766993809e+01 6.347008911460209069e-01 5.722423837314783990e-01 6.410639383891455489e-01 1.523280487764442082e-01 3.009567514189912973e+00 4.113221175869950841e+00
1.601145289364673374e+00 1.179250028416412555e+01 8.666216459959333918e+01 1.104674000626016905e+01 1.837419769171043660e-01 3.381019798440443225e+01 -7.613493474915820070e-01 2.094371742237340239e+00 7.300175683340478505e-01 9.271751172597467727e-01 2.662172385542899367e+00 3.549733143742764274e-01
1.865306808089469026e+00 1.306868975945849520e+01 2.489652198144013084e+01 1.197946895342903773e+01 4.520422763461962035e-01 3.848996842304777033e+01 5.029783214982171957e-01 4.956017171702023383e+00 -9.856995027528425712e-02 3.027109183530730885e+00 2.089795450099346807e-01 1.491921040240793139e-01
1.915099241896916826e+00 1.402980818399434071e+01 5.765147662756984914e+01 9.222240586755974689e+00 4.725561107067166033e-01 4.808985269541699381e+01 -5.341482027782020747e-01 2.940981678229176222e+00 -8.411925636302441944e-04 4.332245737229796778e-01 1.148982743993335297e-02 4.769400451128988472e+00
2.167918372416836714e+00 1.273922065376472545e+01 3.177929476985161372e+01 1.218119849352609840e+01 7.367138570821360477e-02 6.673941381207221468e+01 -8.082946954372498549e-01 1.287866293607845769e+00 8.333504720115195719e-01 5.073362281796790718e+00 2.960715100780635822e+00 3.970706022229821386e+00
2.338284741132438338e+00 1.277994823809862446e+01 6.624818894268837255e+01 1.071860218734465775e+01 5.996503189292311520e-01 4.026163950424152205e+01 2.390254649321145175e-01 4.789068105625072569e+00 6.186392828173320479e-01 3.302624335133025113e+00 3.033613557265320448e+00 5.194091992334189278e+00
2.538474456607590746e+00 1.164757616518388694e+01 7.354849701454169519e+01 1.586624972137119371e+01 3.444668118456173378e-02 9.855470676913820682e+01 6.161022364864255918e-01 4.855964917545541049e+00 -3.484833756989715869e-01 1.980229307596204968e+00 2.368855070069364743e-01 4.479803934867534920e+00
