#  snr lnM mu p0 e0 dist cosqS phiS cosqK phiK Phi_phi0 Phi_r0
1.781724748523463298e+00 1.381551055796427363e+01 1.000000000000000000e+01 1.069999999999999929e+01 4.000000000000000222e-01 1.580000000000000071e+01 -1.459195262374002322e-01 4.524756755959871701e-01 -4.267136898728552952e-01 2.655427040178818476e+00 4.234120732955129363e+00 5.435410183072210799e+00
1.935451625580335344e+00 1.381551055796427363e+01 1.000000000000000000e+01 1.069999999999999929e+01 4.000000000000000222e-01 1.580000000000000071e+01 -6.306231040512606523e-01 7.657337931180002721e-01 7.080888600195193172e-01 1.323764248101908736e+00 5.200045555876431358e-01 3.016220427225298373e+00
1.945418547106160911e+00 1.381551055796427363e+01 1.000000000000000000e+01 1.069999999999999929e+01 4.000000000000000222e-01 1.580000000000000071e+01 -2.466814451293903865e-01 1.555310974604300567e+00 2.113622777854854418e-01 1.121533177059730546e+00 2.049725396856346915e+00 9.339871646310356212e-02
1.976450199180223022e+00 1.381551055796427363e+01 1.000000000000000000e+01 1.069999999999999929e+01 4.000000000000000222e-01 1.580000000000000071e+01 3.101947902760259224e-01 4.036283977007538049e+00 5.115392168668487782e-01 6.205141427089447603e+00 3.806342451695337914e+00 4.053996735638426330e+00
2.031759385769690507e+00 1.381551055796427363e+01 1.000000000000000000e+01 1.069999999999999929e+01 4.000000000000000222e-01 1.580000000000000071e+01 5.230997638422575369e-01 5.620166292005595032e+00 9.092700968984442911e-01 1.864752031048471093e+00 2.066883776855692911e+00 2.620129188479889404e+00
2.042111277853713158e+00 1.381551055796427363e+01 1.000000000000000000e+01 1.069999999999999929e+01 4.000000000000000222e-01 1.580000000000000071e+01 3.328146531227990090e-01 4.509225697424485979e+00 -2.972618160653212049e-01 3.975093142574575467e+00 2.892439607064481777e+00 3.008489823709844302e+00
2.061798878906842436e+00 1.381551055796427363e+01 1.000000000000000000e+01 1.069999999999999929e+01 4.000000000000000222e-01 1.580000000000000071e+01 -7.055339466789156688e-02 5.863306785489707629e+00 -2.787768753602597460e-01 3.427069936755970492e+00 6.576420719725124542e-01 4.159483854943950121e+00
2.071014981427574675e+00 1.381551055796427363e+01 1.000000000000000000e+01 1.069999999999999929e+01 4.000000000000000222e-01 1.580000000000000071e+01 1.991247193051607356e-01 6.013918936464737186e+00 -2.069351361505458176e-01 4.493027563151962056e+00 5.363279226755350848e+00 9.543895576635794825e-03
2.184845431229840429e+00 1.381551055796427363e+01 1.000000000000000000e+01 1.069999999999999929e+01 4.000000000000000222e-01 1.580000000000000071e+01 -3.346101000153403060e-01 5.071204889105808133e-01 6.173541687522438037e-01 1.998262747270904915e+00 9.096008818975774846e-01 3.870983514193613306e+00
2.236849283935213428e+00 1.381551055796427363e+01 1.000000000000000000e+01 1.069999999999999929e+01 4.000000000000000222e-01 1.580000000000000071e+01 9.365945385918960087e-01 3.309990772545269078e+00 -8.832738193603052457e-01 2.970597693291000319e+00 2.279234164244473781e+00 5.974277732403934671e+00
2.271451632215069072e+00 1.381551055796427363e+01 1.000000000000000000e+01 1.069999999999999929e+01 4.000000000000000222e-01 1.580000000000000071e+01 4.137981776781211041e-01 1.986703540678645519e+00 -2.952558580922451936e-01 1.593474008821791355e+00 6.202936835374730506e+00 8.693715039716163814e-03
2.294297296438067679e+00 1.381551055796427363e+01 1.000000000000000000e+01 1.069999999999999929e+01 4.000000000000000222e-01 1.580000000000000071e+01 -3.358612477792267681e-01 5.674365610572905894e+00 8.806771691577230943e-02 6.002011031791181672e+00 5.170805145530437547e-02 2.170346052763661326e+00
2.324582059455770011e+00 1.381551055796427363e+01 1.000000000000000000e+01 1.069999999999999929e+01 4.000000000000000222e-01 1.580000000000000071e+01 2.390254649321145175e-01 4.789068105625072569e+00 6.186392828173320479e-01 3.302624335133025113e+00 3.033613557265320448e+00 5.194091992334189278e+00
2.379022939545095472e+00 1.381551055796427363e+01 1.000000000000000000e+01 1.069999999999999929e+01 4.000000000000000222e-01 1.580000000000000071e+01 4.283626035331254966e-01 3.389268122996049293e+00 7.891579673785187321e-02 7.942699345682983081e-01 2.756781468668915824e+00 4.831454985011343517e+00
2.381921701554463144e+00 1.381551055796427363e+01 1.000000000000000000e+01 1.069999999999999929e+01 4.000000000000000222e-01 1.580000000000000071e+01 -2.335792437491146512e-01 2.440843039602524911e+00 -5.859247378374643489e-02 1.324336812144383702e+00 4.420340309101583820e+00 2.834637144881027027e+00
2.382067122139431614e+00 1.381551055796427363e+01 1.000000000000000000e+01 1.069999999999999929e+01 4.000000000000000222e-01 1.580000000000000071e+01 4.831833547476446222e-01 1.945745682380969788e+00 9.102029137703980810e-01 4.694005585031355565e+00 4.672964680842879304e+00 3.912192258537169565e+00
2.535155883105664643e+00 1.381551055796427363e+01 1.000000000000000000e+01 1.069999999999999929e+01 4.000000000000000222e-01 1.580000000000000071e+01 -3.749145778404713303e-01 1.437506320673104909e+00 -9.612857353915997827e-01 2.942117643502988322e+00 5.012019613041071686e+00 5.552038421245774735e+00
2.560703092586280150e+00 1.381551055796427363e+01 1.000000000000000000e+01 1.069999999999999929e+01 4.000000000000000222e-01 1.580000000000000071e+01 -2.431741212375759797e-01 1.560317687350468718e+00 -5.600636162148476815e-01 5.085556090889196135e+00 1.069709950068276211e-01 1.115130050456763389e+00
