#  snr lnM mu p0 e0 dist cosqS phiS cosqK phiK Phi_phi0 Phi_r0
1.707274707736666342e+00 1.381551055796427363e+01 1.000000000000000000e+01 1.069999999999999929e+01 4.000000000000000222e-01 1.580000000000000071e+01 6.962705734062398788e-01 2.816447798716910089e+00 9.735307678277173027e-01 5.636036679161360308e-01 5.998932768383432590e-01 4.719352768894583328e+00
1.737816259898026461e+00 1.381551055796427363e+01 1.000000000000000000e+01 1.069999999999999929e+01 4.000000000000000222e-01 1.580000000000000071e+01 -1.685567501311213690e-03 7.760683358170415713e-02 -3.814230986218564157e-01 1.616262310704539296e+00 5.900803430860998233e+00 3.165612901692298475e+00
1.780199954212315694e+00 1.381551055796427363e+01 1.000000000000000000e+01 1.069999999999999929e+01 4.000000000000000222e-01 1.580000000000000071e+01 2.602220771588045212e-01 3.503410807368839031e+00 2.708983986822505186e-01 6.011782490054376815e+00 2.272383139068166802e+00 3.980040494528106265e+00
1.799908842787158569e+00 1.381551055796427363e+01 1.000000000000000000e+01 1.069999999999999929e+01 4.000000000000000222e-01 1.580000000000000071e+01 1.600247996341493950e-01 3.034268695226462587e+00 -2.024113556033385608e-01 2.176743145571544247e+00 2.950994637565104384e+00 6.795035609943946842e-01
1.848346857838381929e+00 1.381551055796427363e+01 1.000000000000000000e+01 1.069999999999999929e+01 4.000000000000000222e-01 1.580000000000000071e+01 -5.231884674407797364e-01 3.512892858205119762e+00 5.751136651391820509e-01 3.972800745778523712e+00 3.151460992274625283e+00 4.743932586737392931e+00
1.853592268657041187e+00 1.381551055796427363e+01 1.000000000000000000e+01 1.069999999999999929e+01 4.000000000000000222e-01 1.580000000000000071e+01 -1.456911762725023873e-01 3.353214597279614573e+00 5.280008021580088196e-01 1.827728631300587603e+00 3.871603021805391620e+00 3.654817628678883601e+00
1.857849305435614440e+00 1.381551055796427363e+01 1.000000000000000000e+01 1.069999999999999929e+01 4.000000000000000222e-01 1.580000000000000071e+01 -6.555194390589251796e-01 8.793772454611731293e-01 -9.105789300278015475e-01 4.579201277147467053e+00 5.279822832411719347e+00 3.848259607624584078e+00
1.859234236598576562e+00 1.381551055796427363e+01 1.000000000000000000e+01 1.069999999999999929e+01 4.000000000000000222e-01 1.580000000000000071e+01 7.041429866589851150e-01 6.128483981875948672e+00 -7.826645942484971030e-01 1.330938385730595919e-01 5.176416305799380169e+00 1.424717460073031683e+00
1.863118792281939440e+00 1.381551055796427363e+01 1.000000000000000000e+01 1.069999999999999929e+01 4.000000000000000222e-01 1.580000000000000071e+01 1.008048508845381663e-01 2.909011977881265310e+00 -2.545829340732489454e-01 1.526294000043228571e+00 4.720607171598116381e+00 5.494288733242806977e+00
1.864433427214003514e+00 1.381551055796427363e+01 1.000000000000000000e+01 1.069999999999999929e+01 4.000000000000000222e-01 1.580000000000000071e+01 2.022942852672638958e-01 6.149282779612440741e+00 -1.055564414728943357e-01 5.721068212431222655e+00 3.416146140804211750e+00 4.429505746393938459e+00
1.874155341191772628e+00 1.381551055796427363e+01 1.000000000000000000e+01 1.069999999999999929e+01 4.000000000000000222e-01 1.580000000000000071e+01 -5.947104947026438104e-02 2.439302364718078042e+00 4.407170910096672722e-01 4.062228295058275762e+00 2.437273938715233346e+00 4.221067127890166581e+00
1.877746543464537954e+00 1.381551055796427363e+01 1.000000000000000000e+01 1.069999999999999929e+01 4.000000000000000222e-01 1.580000000000000071e+01 4.135588399288769867e-02 4.151627946251446488e+00 1.669393037317540296e-01 2.209544603328780887e+00 4.952342389861272842e+00 1.833616808595375680e+00
1.879992829973527790e+00 1.381551055796427363e+01 1.000000000000000000e+01 1.069999999999999929e+01 4.000000000000000222e-01 1.580000000000000071e+01 4.144076897680204485e-02 1.109283357633754186e+00 9.731475518304810723e-02 3.138576096778619817e+00 3.760413964828987154e+00 2.002010105113065208e+00
1.898308942298399193e+00 1.381551055796427363e+01 1.000000000000000000e+01 1.069999999999999929e+01 4.000000000000000222e-01 1.580000000000000071e+01 -1.561215618582380005e-01 3.513957113997156156e+00 -1.928800216009363133e-02 4.479911144004867118e+00 3.039499711033884388e+00 4.939328058495765283e+00
1.902771601179672922e+00 1.381551055796427363e+01 1.000000000000000000e+01 1.069999999999999929e+01 4.000000000000000222e-01 1.580000000000000071e+01 1.979739681847755284e-01 7.757565439952019970e-01 -1.148515702974537422e-01 1.681027458771811922e+00 5.186233698130513048e+00 1.761264937587230683e+00
1.918343221372653895e+00 1.381551055796427363e+01 1.000000000000000000e+01 1.069999999999999929e+01 4.000000000000000222e-01 1.580000000000000071e+01 5.739147408941386308e-01 2.041720106354424136e+00 6.837510549033599672e-01 5.898107983539852661e+00 4.024363787797498593e-01 1.407169688235222926e+00
1.954073027395786033e+00 1.381551055796427363e+01 1.000000000000000000e+01 1.069999999999999929e+01 4.000000000000000222e-01 1.580000000000000071e+01 -1.818454856922852025e-01 5.655545804587584158e+00 2.117199593158601845e-01 5.444190281735339365e-01 1.966714794033361940e-02 1.766586357106442184e+00
