#  snr lnM mu p0 e0 dist cosqS phiS cosqK phiK Phi_phi0 Phi_r0
4.813589920388868570e+00 1.403865410927848423e+01 2.500000000000000000e+01 1.122649999999999970e+01 6.999999999999999556e-01 1.119761295708142690e+01 -6.906522471033227362e-02 5.857933361600337285e+00 8.414531715185095129e-01 4.384964021764822029e+00 4.839211504001747599e+00 3.664787884317916244e+00
4.825145952614230183e+00 1.403865410927848423e+01 2.500000000000000000e+01 1.122649999999999970e+01 6.999999999999999556e-01 1.119761295708142690e+01 -2.199723010529883727e-01 3.525921405566532663e+00 -4.905334801511322951e-01 1.398306894061335903e+00 1.954804785390237942e+00 2.118450020609712769e+00
4.842177974899486870e+00 1.403865410927848423e+01 2.500000000000000000e+01 1.122649999999999970e+01 6.999999999999999556e-01 1.119761295708142690e+01 -3.506984818793099645e-01 6.063195955387067571e+00 8.662521241096422520e-01 1.005439961962218964e+00 5.548882233336834169e+00 5.420602323342551543e+00
4.870725062376369152e+00 1.403865410927848423e+01 2.500000000000000000e+01 1.122649999999999970e+01 6.999999999999999556e-01 1.119761295708142690e+01 1.065309723474680004e-01 2.752654633046633048e+00 8.562131361750587866e-01 1.185608673241047128e+00 3.144088355273526592e+00 5.322350552261299050e+00
4.875649917817909795e+00 1.403865410927848423e+01 2.500000000000000000e+01 1.122649999999999970e+01 6.999999999999999556e-01 1.119761295708142690e+01 -1.597851424114149488e-02 3.219402225188514599e+00 -7.846840104375361058e-01 1.618251325232350490e+00 5.200828581071187173e+00 1.099058662254807778e-01
4.891665770370548394e+00 1.403865410927848423e+01 2.500000000000000000e+01 1.122649999999999970e+01 6.999999999999999556e-01 1.119761295708142690e+01 7.053947624064621502e-01 5.648307116384700066e+00 7.191544961673382863e-01 2.540982291244607616e+00 1.058240567096466078e+00 5.410986801969889015e+00
4.903264918097400837e+00 1.403865410927848423e+01 2.500000000000000000e+01 1.122649999999999970e+01 6.999999999999999556e-01 1.119761295708142690e+01 2.179300222656715968e-01 3.788472003269920951e-01 -2.486185756746212006e-01 1.164679157758518935e+00 2.691841023367624430e+00 6.009531524269217329e+00
4.910213509139712329e+00 1.403865410927848423e+01 2.500000000000000000e+01 1.122649999999999970e+01 6.999999999999999556e-01 1.119761295708142690e+01 -2.793295668442974389e-02 3.084573989031512697e-01 -1.740755224145440483e-01 1.856805716582757171e+00 1.618957000536810575e+00 2.687387319092420235e+00
4.910655318740442254e+00 1.403865410927848423e+01 2.500000000000000000e+01 1.122649999999999970e+01 6.999999999999999556e-01 1.119761295708142690e+01 8.371831490967917011e-01 2.300133761911755670e+00 9.016922648792554673e-01 5.109495348303420670e+00 3.240291087653383695e+00 4.220702077800887686e+00
4.945694594331908611e+00 1.403865410927848423e+01 2.500000000000000000e+01 1.122649999999999970e+01 6.999999999999999556e-01 1.119761295708142690e+01 4.758375916272183925e-02 6.925431922591638312e-01 -8.111681901176738263e-01 2.166766018942709593e+00 8.155654559852485441e-01 5.361967843488408825e-01
