#  snr lnM mu p0 e0 dist cosqS phiS cosqK phiK Phi_phi0 Phi_r0
0.000000000000000000e+00 9.433483923290392426e+00 2.500000000000000000e+01 1.122649999999999970e+01 6.999999999999999556e-01 1.119761295708142690e+01 -2.010581596520136793e-01 5.057871068583708940e+00 -7.845976254068114386e-01 4.879231412807958357e+00 5.245484375461128002e-01 5.970838438813049542e+00
0.000000000000000000e+00 9.433483923290392426e+00 2.500000000000000000e+01 1.122649999999999970e+01 6.999999999999999556e-01 1.119761295708142690e+01 -6.076446547175524682e-01 5.244095224839639080e+00 -2.389659335888235647e-01 5.872558745376449174e+00 1.581433714670525292e+00 5.248381937092266192e+00
0.000000000000000000e+00 9.433483923290392426e+00 2.500000000000000000e+01 1.122649999999999970e+01 6.999999999999999556e-01 1.119761295708142690e+01 1.568080237686989564e-01 2.776749165548159093e-02 4.196603190401767547e-01 4.674164852940260850e+00 5.613839435821012636e+00 2.218692809353332240e+00
0.000000000000000000e+00 9.433483923290392426e+00 2.500000000000000000e+01 1.122649999999999970e+01 6.999999999999999556e-01 1.119761295708142690e+01 1.659734515068126415e-01 4.917569695353749104e+00 6.613637584661750113e-01 4.508600065823217484e+00 4.555493967096956531e+00 3.914778337145371712e+00
0.000000000000000000e+00 9.433483923290392426e+00 2.500000000000000000e+01 1.122649999999999970e+01 6.999999999999999556e-01 1.119761295708142690e+01 -5.385936035703464686e-02 4.899724398119134960e+00 8.725522024017381417e-01 2.835122436362110809e-01 1.878420141921936515e-01 1.953771915736399967e+00
0.000000000000000000e+00 9.433483923290392426e+00 2.500000000000000000e+01 1.122649999999999970e+01 6.999999999999999556e-01 1.119761295708142690e+01 -9.509807842607791439e-01 5.080092138361592013e+00 9.001502980597264614e-02 2.066471575659504456e+00 3.388113540904143406e+00 6.190728567103034763e+00
0.000000000000000000e+00 9.433483923290392426e+00 2.500000000000000000e+01 1.122649999999999970e+01 6.999999999999999556e-01 1.119761295708142690e+01 -8.355545385084661714e-02 2.234679964661659302e+00 2.489270104601929434e-01 5.547462486834136008e+00 5.458241762147959086e+00 5.261945409300731180e-01
0.000000000000000000e+00 9.433483923290392426e+00 2.500000000000000000e+01 1.122649999999999970e+01 6.999999999999999556e-01 1.119761295708142690e+01 -7.162242290205396156e-01 2.708164914330146722e+00 7.802690683189968945e-01 1.491555884457167469e+00 6.134719322795506358e+00 7.399884331909946100e-01
0.000000000000000000e+00 9.433483923290392426e+00 2.500000000000000000e+01 1.122649999999999970e+01 6.999999999999999556e-01 1.119761295708142690e+01 -8.380598863685695399e-03 5.083113080314902277e+00 6.583067039261373266e-01 3.746638447517240955e+00 1.045942128203863009e+00 1.135436915039058414e+00
0.000000000000000000e+00 9.433483923290392426e+00 2.500000000000000000e+01 1.122649999999999970e+01 6.999999999999999556e-01 1.119761295708142690e+01 -9.983817054808568070e-01 2.457528283327759855e+00 2.450916535851991318e-01 4.140622656073649210e+00 6.053977629939379490e+00 5.855425392191856204e+00
