#  snr lnM mu p0 e0 dist cosqS phiS cosqK phiK Phi_phi0 Phi_r0
4.248997084788307177e+00 1.403865410927848423e+01 2.500000000000000000e+01 1.137850070321655416e+01 1.000000000000000021e-02 1.119761295708142690e+01 -9.081111039992325606e-01 2.507060547919687910e+00 4.250263509654639282e-02 9.873857480079305526e-01 2.742811230845716430e+00 3.396094422807653945e+00
4.264916012485144847e+00 1.403865410927848423e+01 2.500000000000000000e+01 1.137850070321655416e+01 1.000000000000000021e-02 1.119761295708142690e+01 -8.563849275667771987e-01 2.557887530320224645e+00 -2.292905464589036768e-01 4.545220903383973443e+00 1.236224696182040672e+00 2.675583040785800559e+00
4.302110238601122738e+00 1.403865410927848423e+01 2.500000000000000000e+01 1.137850070321655416e+01 1.000000000000000021e-02 1.119761295708142690e+01 -9.169357051575126594e-01 5.690057475634294981e+00 -1.596460339072818257e-01 1.544834312729304049e+00 9.900136132763004415e-01 1.836331514164058598e+00
4.316921393830258857e+00 1.403865410927848423e+01 2.500000000000000000e+01 1.137850070321655416e+01 1.000000000000000021e-02 1.119761295708142690e+01 1.711340481537636515e-01 2.604868575543092479e+00 4.891767137853586522e-02 4.148349375085541801e+00 2.097987276697428793e+00 1.172943347383967883e+00
4.322033089809793616e+00 1.403865410927848423e+01 2.500000000000000000e+01 1.137850070321655416e+01 1.000000000000000021e-02 1.119761295708142690e+01 2.368230718205596164e-01 5.700749368784064686e+00 1.320708860432108223e-01 4.107028479425873790e+00 2.293654294179243713e+00 3.928912488672902104e+00
4.326249300097404493e+00 1.403865410927848423e+01 2.500000000000000000e+01 1.137850070321655416e+01 1.000000000000000021e-02 1.119761295708142690e+01 -9.938058130784097610e-01 2.596474638363412080e+00 8.439992679172136913e-02 3.603500221412879956e+00 1.433722389668097064e+00 2.422053513682610237e+00
4.351758483285993684e+00 1.403865410927848423e+01 2.500000000000000000e+01 1.137850070321655416e+01 1.000000000000000021e-02 1.119761295708142690e+01 5.181776846549831506e-01 2.341720213964636255e+00 2.302721942565909563e-01 5.821681115401293738e-01 1.334958565397106112e+00 5.030515553775644300e+00
4.357842579393464533e+00 1.403865410927848423e+01 2.500000000000000000e+01 1.137850070321655416e+01 1.000000000000000021e-02 1.119761295708142690e+01 -7.636812304446131128e-01 5.525105459310644562e+00 2.647062903605258422e-01 4.299397735584209457e+00 2.045874136761896001e+00 1.248432725277715871e+00
4.362511478426884359e+00 1.403865410927848423e+01 2.500000000000000000e+01 1.137850070321655416e+01 1.000000000000000021e-02 1.119761295708142690e+01 7.291458026956597616e-01 5.409575783853165731e+00 2.186873235437655216e-01 9.957081088300383520e-01 2.984723689019372017e+00 5.164945062457512392e+00
4.372795972800299857e+00 1.403865410927848423e+01 2.500000000000000000e+01 1.137850070321655416e+01 1.000000000000000021e-02 1.119761295708142690e+01 -8.574212729659222987e-01 2.712978133256367830e+00 -3.038918531670753431e-02 1.061670753804472955e+00 1.482774703244713832e+00 5.044936445387046220e+00
4.374991419051507791e+00 1.403865410927848423e+01 2.500000000000000000e+01 1.137850070321655416e+01 1.000000000000000021e-02 1.119761295708142690e+01 -4.875282646771511574e-01 5.632530272674062033e+00 3.188205622606654632e-02 1.011933312208458391e+00 3.164635506405292009e+00 3.901465898184924175e+00
4.385287051571871153e+00 1.403865410927848423e+01 2.500000000000000000e+01 1.137850070321655416e+01 1.000000000000000021e-02 1.119761295708142690e+01 8.480450346435232101e-01 5.588360515590548694e+00 -2.528743219234855788e-01 2.772846705346450613e-01 2.281654603635995482e+00 4.660057502158879039e+00
4.402924793241214552e+00 1.403865410927848423e+01 2.500000000000000000e+01 1.137850070321655416e+01 1.000000000000000021e-02 1.119761295708142690e+01 9.413682952911571755e-01 2.331892843909693980e+00 2.612157381410823431e-01 5.085291497649504500e+00 4.771994593902069148e+00 5.508677809704732198e+00
4.423581813105511351e+00 1.403865410927848423e+01 2.500000000000000000e+01 1.137850070321655416e+01 1.000000000000000021e-02 1.119761295708142690e+01 -9.016908210148039116e-01 2.456119467169353143e+00 -3.693294451462743044e-01 5.963182047292737487e+00 1.140627478369286463e+00 8.921899516568004840e-01
