#  snr lnM mu p0 e0 dist cosqS phiS cosqK phiK Phi_phi0 Phi_r0
2.421636835246551378e+00 1.403865410927848423e+01 2.500000000000000000e+01 1.158957045085931981e+01 2.000000000000000111e-01 1.119761295708142690e+01 -3.532838683103887156e-01 5.643992408428116114e+00 -1.587739561344529982e-01 8.888253085234191220e-01 3.100606546460151325e+00 3.882580703173958980e+00
2.444319254274135211e+00 1.403865410927848423e+01 2.500000000000000000e+01 1.158957045085931981e+01 2.000000000000000111e-01 1.119761295708142690e+01 -2.830065117739211100e-02 5.703404594205440326e+00 -2.058132386388366042e-01 4.130383841872040662e+00 6.191095669776433219e+00 3.941453061318803019e+00
2.462762448082018274e+00 1.403865410927848423e+01 2.500000000000000000e+01 1.158957045085931981e+01 2.000000000000000111e-01 1.119761295708142690e+01 -4.232496752810231966e-01 2.655883037376270739e+00 -9.639562063529805158e-02 1.131983265888773627e+00 5.615200337597413771e+00 4.024842549005711589e+00
2.471802590482377049e+00 1.403865410927848423e+01 2.500000000000000000e+01 1.158957045085931981e+01 2.000000000000000111e-01 1.119761295708142690e+01 -7.671219052726407917e-02 5.743873701075857596e+00 -4.425446532910428665e-01 1.155233686284431682e+00 2.382251948736003322e-01 1.933870356133262858e+00
2.476726037096164124e+00 1.403865410927848423e+01 2.500000000000000000e+01 1.158957045085931981e+01 2.000000000000000111e-01 1.119761295708142690e+01 8.627500572669111190e-02 2.715559639407572057e+00 -1.806934238247444036e-01 4.261479812314505899e+00 6.039422781026702935e+00 1.434192039029070775e+00
2.485179841176611060e+00 1.403865410927848423e+01 2.500000000000000000e+01 1.158957045085931981e+01 2.000000000000000111e-01 1.119761295708142690e+01 5.244212555137185428e-01 2.629132573355276836e+00 -4.787381413023773513e-01 1.387933687622336043e+00 2.839948929027465763e+00 5.793261090974822558e+00
2.495394324169224465e+00 1.403865410927848423e+01 2.500000000000000000e+01 1.158957045085931981e+01 2.000000000000000111e-01 1.119761295708142690e+01 8.417604079993478150e-01 2.365153690816032217e+00 9.717799108135694031e-02 4.105904178896064849e+00 5.907751876811395242e+00 5.845569035750410869e+00
2.497948169425204590e+00 1.403865410927848423e+01 2.500000000000000000e+01 1.158957045085931981e+01 2.000000000000000111e-01 1.119761295708142690e+01 -1.035820681682507738e-01 2.665898348161896969e+00 -6.330296545697056132e-01 9.615800775312985937e-01 5.456695095165450482e+00 1.592912857153390815e+00
2.514548346943129342e+00 1.403865410927848423e+01 2.500000000000000000e+01 1.158957045085931981e+01 2.000000000000000111e-01 1.119761295708142690e+01 5.898541327657299549e-01 2.614624011066599252e+00 -4.446973355653580651e-01 1.448976049462806115e+00 4.132087847378136392e-01 3.577373192007863967e+00
2.531360004488310445e+00 1.403865410927848423e+01 2.500000000000000000e+01 1.158957045085931981e+01 2.000000000000000111e-01 1.119761295708142690e+01 1.430608154749303251e-01 5.944924286799727398e+00 -2.183548992351208584e-01 1.216992223527010530e+00 2.135406191651815000e+00 4.410717722924133000e+00
